ari.	claro.
Chaqway. 	Bulla.
Qipi. 	Bulto.
Asnu.	Burro.
Maskay.	Buscar.
Kawallu. 	Caballo.
Chukcha. 	Cabello.
Uma. 	Cabeza.
Kawra. 	Cabra.
Sapa.	Cada.
Wichiy. 	Caerse.
Kawi. 	Café.
Puru. 	Calabaza.
Quñiy. 	Calentarse.
Quñi. 	Caliente.
Upallay.	Callado.
Kalli. 	Calle.
Wichay. 	Caminar hacia arriba.
Ñan. 	Camino.
Wayqu. 	Cañada.
Pisipay. 	Cansarse.
Takiy.	Cantar.
Puyñu.	Cántaro.
Kapural. 	Capataz.
Tinkay. 	Capirotazo.
Uya. 	Cara.
Karaqu.	Carajo.
Mamalláy. 	Caramba.
Qipi.	Carga.
Qipiy.	Cargar. 
Karmin.	Carmen.
Aycha. 	Carne.
Inka. 	Carnero.
Chanin. 	Caro.
Karpintiru.	Carpintero.
Wasi. 	Casa.
Qara. 	Cáscara.
Sillu. 	Casco.
Yaqa. 	Casi. 
Kastillanu. 	Castellano.
Maqay.	Castigar.
Siwara. 	Cebada.
Sibulla.	Cebolla.
Charki. 	Cecina.
Chawpi.	Centro.
Chaqllay. 	Cerca.
Kuchi.	Cerdo.
Chusaq. 	Cero.
Wichqay. 	Cerrar.
Matanka.	Cerviz.
Taniy. 	Cesar.
Tustun.	Cuarenta centavos.
Chakra. 	Chacra.
Chakra.	alquería.
Aqa. 	Chicha.
Wisikyay. 	Chillar.
Chuqllu. 	Choclo.
Chufir. 	Chofer.
Chusika.	Chosica.
Pachak. 	Cien.
Sigarru. 	Cigarrillos.
Pichqa. 	Cinco.
Sini.	Cine.
Wiqaw. 	Cintura.
Chumpi.	Cinturón.
Llaqta. 	Ciudad.
Rikchaq.	Clase.
Klasi.	Clase.
Mañay. 	Cobrar.
Kuka. 	Coca.
Haytay. 	Cocear.
Chayay. 	Cocerse.
Yanuy. 	Cocinar.
Kuchus.	Codo.
Kulis. 	Col.
Chupa.	Cola.
Piñakuy. 	Cólera.
Muqu. 	Colina.
Mikuy. 	Comer.
Imaynalla. 	Cómo está(s).
Hina.	Como.
Imayna. 	Cómo.
Masi. 	Compañero.
Sayachiy. 	Compensar.
Rantiy.	Comprar.
Riqsiy. 	Conocer.
Qispiy. 	Concluirse.
Kuntur. 	Cóndor.
Muspay. 	Confundido.
Muspay.	Confusión.
Huñuy. 	Congregar.
Nispachaqa. 	Consecuentemente.
Yupay.	Contar.
Tinkuy. 	Converger. 
Sunqu. 	 Corazón.
Waqrapuku.	Corneta.
Kural. Kurral.	Corral.
Kallpay. 	Correr.
Turu pukllay. 	Corrida de toros.
Kuchuy. 	Cortar.
Wiptiy.	Cortar.
Qara. 	Corteza.
Ima. 	Cosa.
Pallay. 	Cosechar.
Allay.	Cosechar.
Pallay.	Cosechar.
Siray.	Coser.
Waqta.	Costado.
Wiñay.	Crecer.
Uyway.	Criar.
Chuya.	Cristalino.
Chakatay.	Crucificar.
Chawa. 	Crudo.
Wadirnu. 	Cuaderno.
Mayqin. 	Cuál.
Haykapi. 	Cuándo.
Imaynapi.	Cuánto.
Haykayna.	Cuánto.
Hayka. 	Cuánto.
Tawa. 	Cuatro.
Qatay. 	Cubrir.
Taqay. 	Cucharear.
Wislla. 	Cucharón.
Kuchillu. 	Cuchillo.
Kunka. 	Cuello.
Wanku.	Cuerda.
Waqra.	Cuerno.
Qara. 	Cuero.
Yanqataq.	Cuidado.
Allillamanta.	Cuidadosamente.
Tarpuy.	Cultivar.
Hampiy.	Curar.
Kututu.	Cuy macho.
Quwi.	Cuy.
Kusku.	Cuzco.
Mama.	Dama.
Quy.	Dar.
Chaymanta.	De ahí.
Punchaw.	De día.
Umpu. 	Decaído.
Niy. 	Decir.
Willay. 	Decir. 
Didu.	Dedo.
Akay.	Defecar.
Nanachikuy. 	Defenderse.
Millpuy. 	Millpuy. 
Ñawpaq.	Delante.
Llañu.	Delgado.
Tullu.	Delgado.
Llumpay.	Demasiado.
Ancha. 	Demasiado.
Talliy.	Derramar.
Qarquy.	Desalojar. 
Chinkay. 	Desaparecer.
Paskay. 	Desatar.
Samay. 	Descansar.
Nakay. 	Descuartizar.
Qala.	Descubierto.
Tipiy. 	Deshojar. 
Chamchay. 	Desmenuzar.
Qalatu. 	Desnudo.
Chutuy. 	Desollar.
Chaqway. 	Desordenar.
Allillamanta.	Despacio.
Usuy.	Desperdiciarse.
Rikchay.	Despertarse.
Llatanay.	Despojar.
Wischupakuy. 	Despreciar.
Chipipipiy. 	Destellar.
Chutuy.	Desverstirse.
Harkay. 	Detener.
Sayay.	Detenerse.
Takyay.	Detenerse.
Qipa.	Detrás.
Kutichiy.	Devolver.
Punchaw.	Día.
Supay.	Diablo.
Qicha.	Diarrea.
Qillqay. 	Dibujar.
Nispapi hina.	Dice.
Kiru. 	Diente.
Riyal. 	Diez centavos.
Chunka. 	Diez.
Sapaq. 	Diferente.
Sasa.	Difícil.
Hukchu. 	Difícilmente. 
Ñakayta. 	Dificultad.
Qullqi. 	Dinero.
Liryay.	Discutir.
Haypuy. 	Distribuir.
Pataray. 	Doblar.
Nanay. 	Doler. 
Dumingu. 	Domingo.
May. 	Dónde.
Maypi. 	Dónde.
Puñuy. 	Dormir.
Iskay. 	Dos.
Miski.	Dulce.
Kapka. 	Duro.
Sinka.	Ebrio.
Talliy.	Echar.
Waqtapay.	Echarse.
Yaw. 	Eh.
Pay.	Él.
Ilina. 	Elena.
Pata. 	Elevación.
Pay.	Ella.
Paykuna. 	Ellos.
Wiksayuq. 	Embarazada.
Sumaqchay. 	Embellecer.
Hampiy.	Embrujar.
Qallariy.	Empezar.
Hinkiy.	Empinarse.
Tanqay.	Empujar.
Ratay. 	Encenderse.
Kusu.	Encierro.
Unquy.	Encinta.
Tariy.	Encontrar.
Tupay.	Encontrarse.
Manukuy.	Endeudarse.
Awqa.	Enemigo.
Unquy.	Enfermarse.
Piña. 	Enojado.
Piñakuy.	Enojarse.
Chikachachaq.	Enorme.
Yawarchay. 	Ensangrentar.
Yachachiy. 	Enseñar.
Qachachay. 	Ensuciar.
Hapiy. 	Entender.
Pampay.	Enterrar.
Hinaspa.	Entonces.
Aqalli.	Entrañas.
Yaykuy.	Entrar.
Chawpi.	Entre.
Puru.	Envase.
Hampiy.	Envenenar.
Kachay.	Enviar.
Pacha.	Época.
Pantay.	Equivocar.
Usyay.	Escampar.
Lluptiy.	Escapar.
Akllay.	Escoger.
Pakay.	Esconder.
Qillqay.	Escribir.
Uyariy.	Escuchar.
Iskuyla.	Escuela.
Chay.	Eso.
Tunquchu.	Esófago.
Wasa.	Espalda.
Ispañul.	Español.
Kastillanu.	Español.
Suyay.	Esperar.
Kichka.	Espina.
Warmi.	Esposa.
Qusa.	Esposo.
Kuchu.	Esquina.
Kay.	Estar.
Na.	Este.
Kay.	Este.
Istir.	Ester.
Aysay. 	Estirar.
Wiñay. 	Estirarse.
Wiksa. 	Estómago.
Tiquy. 	Estrangular.
Quyllur. 	Estrella.
Alumnu.	Estudiante.
Istudyay.	Estudiar.
Waspiy.	Evaporarse.
Aspiy.	Excavar.
Achpiy. 	Excavar.
Aka. 	Excremento.
Willay.	Explicar.
Rimay. Expresión.	
Pasaypaq.	Extremadamente.
Qatiy.	Seguir.
Mastay.	Extenderse.
Wali.	Falda.
Ayllu.	Familia.
Ayllu. 	Familiar.
Puqusqa. 	Fermentado.
Quqaw. 	Fiambre.
Tukuy. 	Fingir.
Rapapapay.	Flamear.
Wayta. 	Flor.
Tullpa.	Fogón.
Ransis.	Francés. 
Siqi.	Franja.
Chimpa. 	Frente.
Urku. 	Frente.
Wachay. 	Parir.
Ruru. 	Fruto.
Nina.	Fuego.
Kallpa. 	Fuerza.
Puriy. 	Caminar.
Muyuy.	dar vuelta.
Wallpa. 	Gallina.
Kukchpa. 	Galga.
Utulu.	Gallo.
Llalliy.	Ganar.
Sillu.	Garra.
Gastay.	Gastar.
Misi. 	Gato.
Waqtapay. 	Golpear.
Wira. 	Gordo.
Dyuspagrasunki.	Gracias.
Lliwa. 	Grama.
Hatun. 	Grande.
Wira. 	Grasa.
Uqi.	Gris.
Qapariy.	Gritar.
Raku.	Grueso.
Qirqiryay. 	Gruñir.
Churay.	Guardar.
Pikanti.	Guiso picante.
Utuskuru.	Gusano.
Munay. 	Gustar.
Puspu. 	Haba.
Kay.	Haber.
Rimay. 	Hablar.
Imanay. 	Hacer (qué).
Chiriy.	Frio.
Ruway. 	Hacer.
Asinda. 	Hacienda.
Yarqay. 	Hambre (tener).
Yarqay. 	Hambre.
Yarqay. 	Hambruna.
Kuta.	Harina.
Uya. 	Haz.
China. 	Hembra.
Kiri.	Herida.
Herida.	Herir.
Pani.	Hermana.
Turi. 	Hermano de una mujer.
Wawqi.	Hermano.
Añallaw. 	Delicioso.
Aka. 	Herrumbre.
Timpuy. 	Hervir.
Riti. 	Hielo.
Qura.	Hierba.
Kipchan. 	Hígado. 
Churi. 	Hijo.
Wawa. 	Hijo. 
Puchkay. 	Hilar.
Siqi. 	Hilera.
Watu. 	Hilo.
Usiku. 	Hocico.
Allillachu. 	Hola.
Runa. 	Hombre.
Ura. 	Hora. 
Untiy.	Hozar.
Wanta. 	Huanta. 
Yupi.	Huella.  
Wakcha.	Huérfano.
Tullu.	Hueso.
Runtu.	Huevo.
Ayqiy. 	Huir.
Qusniy.	Humear.
Puchka. 	Huso.
Ika.	Ica.
Chaynalla.	Igual.
Chay rikchaq.	Igual. 
Kanchiy. 	Iluminar. 
Michakuy. 	Impedir.
Harkay.	Atajar.
Inka.	Inca.
Kichkachi.	Incitación.
Kumuy. 	Inclinarse.
Uqllay. 	Incubar.
Sapaq. 	Independiente.
Sapaq. 	Independientemente.
Riki. 	Indudablemente.
Qamya. 	Insípido.
Pisi. 	Insuficiente.
Anyay. 	Insultar.
Nisyu.	Intensamente. 
Yankiy.	Intercambiar. 
Uku.	Interior.
Chunchul. 	Intestinos.
Hinay. 	Introducir. 
Yanqa. 	Inútilmene.
Hayway. 	Invitar.
Riy. 	Ir.
Hasintu. 	Jacinto.
Aysay.	Jalar.
Chutay. 	Jalar.
Sipas. 	Joven (mujer).
Pukllay. 	Jugar.
Yuyay. 	Juicio.
Hulyu. 	Julio.
Kuska. 	Juntos.
Uña. 	Lactante. 
Anyay. 	Ladrar.
Ladrillu. 	Ladrillo.
Suwa. 	Ladrón.
Qucha.	Lago.
Wiqi. 	Lágrima.
Tiksi.	Lana (Pedacito inútil de __).
Aqaruway. 	Langosta.
Hatun. 	Largo.
Siqullu. 	Látigo.
Taqsay. 	Lavar. 
Upakuy. 	Lavarse.
Karu. 	Lejos.
Yanta. 	Leña.
Qallu. 	Lengua.
Quqariy. 	Levantar. 
Liwru. 	Libro. 
Chuya.	Limpio.
Yawar. 	Linaje. 
Siqi.	Línea.
Llama.	Llama.
Qayay. 	Llamar.
Pampa. 	Llanura.
Chayay. 	Llegar.
Huntay.	Llenarse.
Hunta. 	Lleno.
Chukuy-chukuy.	Lleno.
Umbruy.	Llevar al hombro.
Pusay.	Llevar.
Waqay. 	Llorar.
Paray. 	Llover.
Para. 	Lluvia.
Sayay.	Longitud.
Hinaspa. 	Luego. 
Huk lawlla.	Lugar.
Wichay.	Lugar alto.
Luwis.	Luis.
Luwisa. 	Luisa.
Killa. 	Luna.
Lunis. 	Lunes.
Urqu. 	Macho.
Kullu. 	Madera.
Mama. 	Madre.
Puqusqa. 	Maduro.
Mayistru. 	Maestro.
Ancha allin. 	Magnífico.
Muti. 	Maíz cocido.
Sara.	Maíz.
Chiki. 	Mal agüero.
Paqarin.	Mañana.
Pukyu. 	Manantial.
Chiqchi.	Manchado.
Kamachiy. 	Mandar.
Kakichu.	Mandíbula.
Maki.	Mano.
Lliklla. 	Manta para cargar.
Manwil. 	Manuel.
Marsilina.	Marcelina.
Marya. 	María.
Maryanu. 	Mariano.
Chumpi.	Marrón.
Marsu. 	Marzo.
Aswan. 	Más. 
Kachuy.	Masticar.
Sipiy.	Matar. 
Mayu. 	Mayo. 
Mikaniku. 	Mecánico.
Midiku.	Médico.
Chiqta. 	Medida.
Chawpi. 	Medio.
Tupuy.	Medir.
Aywiy.	Menear.
Ñutu.	Menudo.
Plaza.	Mercado.
Killa. 	Mes.
Waranqa.	Mil.
Añas.	Mofeta.
Nuyuy.	Mojar.
Kutay.	Moler.
Kanallan.	Momento.
Chipi.	Mono.
Urqu.	Montaña.
Sillakuy. 	Montar. 
Kachuy. 	Morder.
Wañuy. 	Morir.
Muru. 	Moteado.
Aywiy. 	Mover.
Kuyuy. 	Moverse.
Warma. 	Muchacho.
Achka. 	Muchos. 
Ñuti.	Mucosidad.
Warmi. 	Mujer.
Pacha. 	Mundo.
Ancha. 	Muy.
Wiñay. 	Nacer.
Siki.	Nalgas.
Sinqa. 	Nariz.
Munay. 	Necesitar.
Allqa. 	Negro sobre fondo blanco.
Yana. 	Negro.
Chillu. 	Negro.
Sirka.	Nervadura.
Ritiy. 	Nevar.
Qisa. 	Nido.
Mana.	No.
Ama.	No.
Tuta. 	Noche.
Suti. 	Nombre.
Ñuqanchik.	Nosotros.
Puyu. 	Nube. 
Isqun. 	Nueve.
Achka. 	Numerosos.
Utaq.	O.
Kasuy. 	Obedecer.
Warku.	Ochenta centavos.
Pusa.	Ocho.
Amaláy. 	Ojalá.
Rinri. 	Ojo de la aguja. 
Ñawi. 	Ojo.
Muskiy.	Oler.
Manka.	Olla. 
Puputi. 	Ombligo.
Rimay. 	Oración.
Rinri. 	Oreja.
Tuta.	Oscuridad.
Tutayaq. 	Oscuro.
Uwiha. 	Oveja.
Akay. 	Oxidarse.
Pablu.	Pablo.
Tayta. 	Padre. 
Tayta-mama. 	Padres.
Pagay. 	Pagar.
Llaqta. 	País.
Simi. 	Palabra.
Kaspi. 	Palo. 
Urpay. 	Paloma.
Chukchu. 	Paludismo.
Tanta. 	Pan.
Wara. 	Pantalones. 
Chupa. 	Pantorrilla.
Pawla. 	Paola.
Runtus papa.	Papa amarilla.
Chuñu.	Papa deshidratada.
Runtus.	Ritipa sisan.
Watya. 	Flores.
Papil. 	Papel. 
Sayachiy.	Parar.
Hatariy.	Pararse.
Rikchakuy. 	Parecerse.
Hina.	Parecido. 
Pirqa. 	Pared.
Wachay. 	Parir.
Waki. 	Parte.
Pasay. 	Partir.
Mincha. 	Pasado mañana.
Pastu. 	Pasto.
Pasto.	Pastorear.
Ataka.	Pata.
Haytay.	Patear.
Patrun.	Patrón.
Pawlina. 	Paulina.
Qasqu. 	Pecho.
Mañay. 	Pedir.
Supi. 	Pedo.
Pidru. 	Pedro.
Ñaqcha. 	Peine. 
Munday.	Pelar.
Tipllay. 	Pelar.
Chukcha. 	Pelo.
Piluta. 	Pelota.
Lani.	Pene.
Niy.	Pensar.
Muru.	Pepa.
Taksa.	Pequeño.
Musyay. 	Percibir.
Wischuy.	Perder.
Qillakuy. 	Pereza.
Qilla.	Perezosa.
Qapay. 	Perfumar.
Muyuriq. 	Perímetro.
Pasaykullasqayki. 	Permiso.
Ichaqa. 	Pero.
Chuli. 	Perro pastor.
Allqu.	Perro.
Pirul. 	Perol.
Piruw. 	Perú.
Pirwanu.	Peruano.
Llasaq.	Pesado.
Llasay.	Pesar.
Challwa. 	Pescado.
Qichipra. 	Pestaña.
Challwa. 	Pez.
Hayay. 	Picar.
Kachuy. 	Picar.
Mallqu.	Pichón.
Tupsa.	Pico.
Tupsay. 	Picotear.
Chaki.	Pie.
Rumi. 	Piedra.
Qara. 	Piel.
Chanka.	Pierna.
Chaki.	Pie.
Tariy.	Pillar.
Pampa. 	Piso.
Tarpuy. 	Plantar.
Mati. 	Plato.
Puru.	Pluma.
Imay sunqu.	Pobre.
Wakcha. 	Pobre.
Tumpa.	Poco.
Atiy.	Poder.
Pumpu. 	Podrido.
Wardiya. 	Policía.
Chiwchi. 	Pollo.
Allpa. 	Polvo.
Punchu. 	Poncho.
Churay.	Poner.
Chaymi.	Por eso.
Ama hina kaspa. 	Por favor.
Imanasqa.	 Por qué. 
Tiyay. 	Posarse.
Tapuy.	Preguntar.
Manchakuy. 	Preocuparse.
Aqay. 	Preparar chicha.
Qaylla.	Presencia.
Yaykupaku. 	Presente.
Malliy. 	Probar.
Uku.	Profundo.
Michakuy.	Prohibir.  
Llaqta.	Pueblo.
Punku. 	Puerta.
Qatu. 	Puesto de venta.
Qapsan. 	Pulmones.
Punu. 	Puno.
Taka. 	Puño.
Haytay. 	Puntapié.
Ñawiruru. 	Pupila.
Imay. 	Qué.
Maychika. 	Qué cantidad.
May law. 	Qué lado.
Ima. 	Qué.
Runasimi. 	Quechua. 
Qipay. 	Quedarse.
Kañay.	Quemar.
Munay.	Querer.
Kirusin. 	Queroseno.
Pi.	Quién.
Qasi. 	Quieto.
Ralmiryu. 	Quince centavos.
Chapra. 	Rama seca.
Tullu. 	Rama.
Chaylla. 	Rápidamente.
Ukucha.	Ratón.
Rawul.	Raúl.
Hatariy. 	Rebelarse. 
Chaskiy. 	Recibir.
Pallay. 	Recoger. 
Yuyay. 	Recordar. 
Parquy.	Regar.
Llaqta. 	Región.
Maskay.	Registrar.
Asiy.	Reir. 
Llipya. 	Relámpago.
Llipyay. 	Relampaguear.
Qaqchay. 	Reñir.
Partisyun. 	Repartición.
Kutipay. 	Replicar.
Miray.	Reproducirse.
Lluchkay.	Resbalar.
Wiqi. 	Resina.
Anyay. 	Resondrar.
Samay. 	Respiración.
Samay. 	Respirar.
Qichuy.	 Restar.
Puchuy.	Resto.
Muyuy. 	Retornar.
Wintiy.	Retozar.
Qipay.	Retrasarse.
Huñuy. 	Reunir.
Tuqyay. 	Reventar.
Mañay. 	Rezar.
Rikardu. 	Ricardo.
Apu. 	Rico.
Mayu. 	Río.
Qaqa. 	Risco.
Ruwirtu. 	Roberto.
Muqu. 	Rodilla.
Puka. 	Rojo.
Pakiy. 	Romper.
Pacha.	Ropa.
Rusa. 	Rosa.
Rusindu. 	Rosendo.
Muyuy.	Rotar.
Paqu. 	Rubio.
Ruyda. 	Rueda.
Rusu. 	Ruso.
Yachay.	Saber.
Qurquy.	Sacar.
Taspiy.	Sacudir. 
Kachi.	Sal.
Lluqsiy.	Salir.
Tuqay. 	Saliva.
Paway.	Saltar.
Allin.	Saludable.
Yawar.	Sangre.
Saksay.	Satisfecho.
Chakiy.	Secarse.
Tiyay.	Sedimentar.
Qatipay.	Seguir una dirección. 
Qatiy.	Seguir.
Suqta.	Seis.
Akllay.	Seleccionar.
Simana.	Semana. 
Tarpuy.	Sembrar.
Kawsay.	Sementeras.
Muhu. 	Semilla. 
Ñan. 	Sendero.
Ñuñu.	Seno.
Taytáy. 	Señor. 
Mama. 	Señora. 
Tiyay.	Sentarse.
Rakiy. 	Separar.
Kay.	Ser.
Pungu.	Servicio.
Qaray.	Servir.
Ñutqu.	Seso.
Awriki.	Sí.
Qanchis.	Siete.
Churkuy. 	Sobreponer.
Waska.	Soga. 
Inti.	Sol.
Chunniq. 	Solitario.
Sapa.	Solo. 
Kachariy. 	Soltar. 
Ruqu.	Sombrero.
Chalanyay.	Sonar.
Asiy. 	Sonreir.
Chupi.	Sopa.
Laqichuy. 	Sopapear. 
Wayray. 	Soplar el viento.
Pukuy. 	Soplar.
Siqay.	Subir.
Susidiy. 	Suceder.
Qanra.	Sucio.
Pampa. 	Suelo.
Haypay. 	Suficiente.
Ñakariy.	Sufrir.
Anchachuch. 	Tal vez.
Wayaqa. 	Talego.
Mayan. 	Tamaño.
Sayay. 	Tamaño.
Ima. 	También.
Katatatay. 	Temblar.
Timpranu.	Temprano.
Mastay.	Tender.
Anku. 	Tendón.
Tukuy.	Terminar.
Allpa. 	Terreno.
Champa. 	Terrón.
Runtu. 	Testículos.
Ñawpaq. 	Tiempo.
Unay. 	Tiempo largo.
Pacha.	Tiempo.
Tinda. 	Tienda.
Allpa. 	Tierra.
Maqma. 	Tinajón.
Rikchaq.	Tipo.
Chamqay. 	Tirar. 
Wikapay. 	Tirar.
Titikaka. 	Titicaca.
Tukuy. 	Todo.
Llapa. 	Todos.
Manukuy. 	Tomar prestado.
Putquy. 	Tomar.
Lluqlla. 	Torrente.
Kamcha. 	Tostado.
Harwiy. 	Tostar.
Llamkay. 	Trabajar.
Apamuy. 	Traer.
Rakray.	Tragar. 
Tragu. 	Trago.
Astay. 	Transportar.
Latapa.	Trapo.
Simpay.	Trenzar.
Kimsa. 	Tres.
Tunrururuy. 	Tronar.
Haytay. 	Tropezar.
Tunrururu.	Trueno.
Qam. 	Tú.
Maswa.	Tubérculo.
Ulluku.	Tubérculo.
Uqa. 	Tubérculo.
Chilina. 	Tuétano.
Ñuñu. 	Ubre.
Ukayali. 	Ucayali.
Huk.	Uno.
Sillu. 	Uña.
Kiki. 	Uno mismo.
Qam.	Usted.
Qamkuna. 	Ustedes.
Taqtay. 	Vaciar.
Qala.	Vacío.
Hakuchik. 	Vamos.
Qari.	Varón.
Ma.	Veamos.
Sirka. 	Vena.
Luwichu.	Venado.
Wankiy. 	Vendar. 
Rantikuy. 	Vender.
Aynikuy. 	Vengarse.
Hamuy. 	Venir.
Qaway. 	Ver. 
Qumir.	Verde.
Illay. 	Viajar.
Wikuña.	Vicuña.
Wikuña.	Paqu.
Kawsay.	Vida.
Qispi. 	Vidrio.
Paya.	Vieja. 
Ñawpa.	Viejo.
Kallpa.	Vigor.
Muru.	Viruela.
Watukuy.	Visitar.
Yachay.	Vivir.
Wiskacha.	Vizcacha.
Paway.	Volar.
Wischuy.	Vomitar.
Kutiy.	Volver.
Ña.	Ya.
Ñuqa.	Yo.
Yugu.	Yugo.
Yunta.	Yunta.
Sanurya.	Zanahoria.
Sapatu.	Zapato.
Qarachupa.	Zarigüeya.
Atuq.	Zorro.
Ñuqayku.	Nosotros.
Runakuna.	Hombres.
Pukllanchik.	Jugamos.
Wasiy.	Mi casa.
Wiqawniy.	Mi cintura.
Wasiyki.	Tu casa.
Wiqawniyki.	Tu cintura.
Wasin.	Su casa.
Wiqawnin.	Su cintura.
¡Lluqsiy!.	¡Salga! ¡Sal!.
¡Lluqsichun!.	¡Que salga!.
Llamkaniku.	Trabajamos.
Llamkanku.	Trabajan.
Llamkanchik.	Nosotros trabajamos.
¡Lluqsiychik!.	¡Salgan!.
Rimani.	Hablo.
Rimanki.	Hablas.
Rikchariy.	Despertarse. 
Chayarquni.	Llegué. 
Ñaupaq ñeqe.	Primero.
Iskay ñeqe.	Segundo.
Kinsa ñeqe.	Tercero.
Tawa ñeqe.	Cuarto.
Pisqa ñeqe.	Quinto.
Soqta ñeqe.	Sexto.
Ñaupaq ñeqe.	Primero.
Ñaupaq ñeqe.	Primero.
waqanaypaq.	para que yo llore.
llakinaypaq.	para que yo sufra.
Tiyakuy.	Tome asiento.
Tiyakuychik.	Tomen asiento.
Tiyarikuychik.	Tomen asiento.
Tiyayukuychik.	Tomen asiento.
¡Yanapariway!	¡Ayúdeme!
Rantiy.	Comprar.
Rantiq.	Comprador.
Rantikuy.	Vender.
Qatuy.	Vender.
Rantikuq.	Vendedor.
Quykuy.	Regalar.
Chanin.	Precio.
Manuy.	Prestar.
Manuy.	Fiar.
Manupakuy.	Endeudarse.
Manukuy.	Fiarse.
Manu.	Deuda.
Manukuq.	Deudor.
Manuq.	Prestamista.
Kutichiy.	Devolver.
Wakcha.	Pobre.
Mana qullqiyuq.	Pobre.
Wakchayay.	Volverse pobre.
Wakchakay.	Pobreza.
Mana imayuq runa.	Indigente.
Qhapaqyay.	Progresar.
Aya.	Cadáver.
Wañusqa.	Muerto.
Wañuchiy.	Matar.
sipiy.	Matar.
Runa wañuchiy.	Matar a una persona.
Runa wañuchiq.	Asesino.
Wañuchisqa.	Asesinado.
Sipikuy. Suicidarse.	
wañuchikuy.	Suicidarse.
Sipikuq.	Suicida.
wañuchikuq.	Suicida.
Miyu.	Veneno.
wañunayay.	Agonizar.
Wañuypatay.	Agonizar.
Pampay.	Enterrar.
Pampasqa.	Enterrado.
Yawarchasqa.	Ensangrentado.
Nakay.	Degollar.
Sulluy.	Abortar.
Sulluchiy.	Hacer abortar.
Wardiya.	Policía.
Maqay.	Pegar.
Panyay.	golpear.
Laqichuy.	Abofetear.
Maqasqa.	Golpeado.
Waykay.	Pegar entre varios.
Waqtay.	Golpear con un palo o garrote.
Takay.	Pegar con puñetes.
Haytay.	Patear.
Haytapay.	Patear repetidas veces.
Kuchuy.	Cortar.
Kiriy.	Herir.
Kirisqa.	Herido.
Yawarchakuy.	Sangrar.
Yawarchasqa.	Ensangrentado.
Kañakuy.	Quemarse.
Rupasqa.	Quemado.
Nanay.	Dolor.
Nanachiy.	Lastimar.
Nanachisqa.	Lastimado.
Ñakarichiy.	Torturar.
Ñakarichiq.	Torturador.
Llakiy.	Sufrir.
Maqanakuy.	Pelear.
Takanakuy.	Pelear a puñetazos.
Hapiy.	Agarrar.
Hapisqa.	Agarrado.
Chaqway.	Desorden.
Qapariy.	Gritar.
Harkay.	Atajar.
Harkakuy.	Defender.
Chiqniy.	Odiar.
Chiqninakuy.	Odiarse.
Chiqnisqa.	Aborrecido.
Manchachiy.	Atemorizar.
Manchay.	Asustarse.
Awqa.	Enemigo.
Piñasqa.	Furioso.
Piñasqa.	rabioso
Piñay.	Enojo.
Qatiykachay.	Perseguir.
Suway.	Robar.
Suwaq.	Ladrón.
Suwasqa.	robado.
Suwakunapa kamachiq.	Jefe de los ladrones, cabecilla.
Uywa suwa.	Abigeato.
hurtar Hurquy.	Sustraer.
Chasay.	Apropiarse de algo.
Munapayay.	Codiciar.
Manchachiy.	Amenazar.
Hukpa.	Ajeno.
Pallquy.	Engañar.
Saqiy.	Abandonar.
Uywa suwa.	Abigeato.
Laqichuy.	Abofetear.
Sulluy.	Abortar.
Pasña.	Adolescente mujer. 
Maqta.	Adolescente varón.
Hapiy.	Agarrar.
Wañuy pata.	Agonía.
Wañunayay.	Agonizar.
Maqaq.	Agresor.
Hukpa.	Ajeno.
Kuyaq.	Amante.
Qillu.	Amarillo.
Manchachiy.	Amenazar.
Ñaña.	Amiga.
Wawqi.	Amigo.
Paya.	Anciana.
Machu.	Anciano.
Allichay.	Arreglar. 
Pituchakuy.	Arrepentirse.
Wañuchiy.	Asesinar.
Runa wañuchiq.	Asesino.
Manchachiy.	Atemorizar.
Nanachiy.	Atormentar.
Kamachiq.	Autoridad.
Pinqachikuy.	Avergonzar.  
Pinqakuy.	Avergonzarse. 
Willay.	Avisar.
Yanapay.	Ayudar. 
Yanapanakuy.	Ayudarse. 
Anqas.	Azul.
Wawa.	Bebé.
Yuraq.	Blanco.
sinka.	Borracho.
Chaqwa.	Bulla.
Asipayay.	Burlarse.
Asipayaq.	Burlón. 
Maskay.	Buscar.
Aya.	Cadáver.  
Yanqa.	Calumniador. 
tumpaq.	Cansado. 
Pisipasqa.	Cansancio. 
Qusayuq.	Casada. 
Warmiyuq.	Casado. 
Pasña.	Chica.
Maqta.	Chico.
Llaqta.	Ciudad.
Llaqtaruna.	Ciudadano. 
Munapayay.	Codiciar.  
Llamkamasi.	Colega. 
Yachaymasi.	Compañero de colegio. 
Rantiq.	Comprador. 
Rantiy.	Comprar. 
Allinpay.	Conciliar.
Riqsisqa.	Conocido.
Willay.	Contar. 
Yupay.	Contar.
Kutipakuy.	Contestar.
Qari uywaq.	Conviviente.
Kuchuy.	Cortar.
Kuchuna.	Cuchillo.
Hucha.	Culpa.  
Huchayuq.	Culpable.  
Huchachisqa.	Culpado.
Tumpay.	Culpar. 
Niy.	Decir.
Sayapakuy.	Defender.  
Nakay.	Degollar.  
Chinkay.	Desaparecer.
Manam llamkayuq.	Desempleado.  
Chaqwa.	Desorden.
Millay.	Despreciable.
Usuchisqa.	Despreciado.
Usuchiy.	Despreciar.
Harkay.	atajar a alguien.
