abaspa tuktun.	flor de haba.
Yupachkaniku qullqiykuta rantipakuq rinaykupaq.	Estamos contando nuesto dinero para ir de compras.
Chisi tutam suwa aparqusqa pachanchikta, waqaya hatun yupinkunata pampapi saqirqusqa, hatun karay runach karqa.	Anoche un ladrón se llevó nuestras ropas, ahí están sus huellas grandes, probablemente era un hombre alto.
Yuraq pachawanmi wakin warmikuna kasarakuspanku churakunku.	Algunas mujeres que se casan se visten de blanco.
Imam kasqanchikta yuyaymanaspam aswan hatun chiqap kayman chayasun.	 Recordando lo que fuimos en el pasado, llegaremos a ser auténticamente más grandes.
Tayta Ansilmuta tapukurqusunchik sasachakuyninchikmanta, paymi yuyaysapa runa.	Consultemos al Sr. Anselmo, él es un hombre de muy buen juicio.
Wichiykun huk machucha. 	Un anciano se cayó.
Llamkaysisaq taytayta.	 Le ayudaré a trabajar a mi padre. 
Tantatamá munani.	Quiero pan (enfáticamente). 
Paqarincha chayamunqa. 	Tal vez llegue mañana. 
¿Kuyawankichu?.	¿Me quieres?.
Manam hamunchu.	No viene.
Runakunaqa wañuqllamiki kanchik.	Los hombres somos obviamente mortales.
Kaypim paqarirqani.	Nací aquí.
Kutirqamunñam taytay. 	Mi padre ya volvió. 
Qamtapas kuyaykim.	 Te quiero también a ti. 
Qamwanpunim kasarakuyta munani.	 Contigo es que quiero casarme. 
Runakunaqa achkallañam kanchik. 	 Los hombres somos muy numerosos. 
Llaqtaypiqa hawkaraqmi runakuna kawsakunku. 	En mi pueblo la gente vive aún tranquilamente.
Mama Asuntaqa wiksayuqsi kachkan.	Dicen que la señora Asunta está encinta. 
Ñuqa kaypi qipasaq, qamñataq yantaman rirquy.	Yo me quedaré aquí y tu anda por leña.
¡Churichallayya, imaynaraq kawsakunqa!.	 ¡Oh, mi querido hijito, qué vida llevará!.
Patachi. 	Comida típica.
Imaynanpi. 	Cómo así.
Chayna.	De esa manera.
Manachayqa.	De otro modo.
Warmi qurquy. 	Pedir la mano.
Achachallaqya.	Qué barbaridad.
Wanta llaqtakama risaq.	Iré hasta la ciudad de Huanta.
Watakama kaypi llamkasaq.	Trabajaré aquí hasta el próximo año.
Mayuman richkani.	Voy hacia el río.
Payman mikuyta apachkani.	 Le llevo comida a ella. 
Ayakuchumantam kani.	Soy de Ayacucho. 
Runasimimanta rimachkanku.	Están hablando acerca del quechua.
Kullumantam ruwasaq tiyanata.	Haré una silla de madera.
Qampaqmi kay wasi.	Esta casa es para ti. 
Kaypim yachani.	Vivo aquí.
Iskay punchawpim tukusaq llamkayta.	Teminaré de trabajar en dos días.
Qaripuralla rimachkanku. 	Están hablando sólo entre varones.
Qamraykum kaypi kachkani.	Estoy aquí por ti.
Taytayta  suyachkani.	Espero a mi padre.
Chakrata  richkani.	Voy a la chacra.
Allinta llamkan.	El trabaja bien.
Waskawan watani kuchita.	Amarro al cerdo con una soga.
Paywan risaq llaqtata.	Iré al pueblo con ella.
Ñuqanchik pukllanchick.	Nosotros jugamos.
Hamuptiyki kusikuni.	Me alegro cuando vienes.
Mikuspañam hamurqani.	Vine después de comer.
Mikustinmi hamurqani.	Vine comiendo.
Kaypim llamkaq karqani.	Trabajaba aquí.
Kaypim llamkarqani.	Trabajé aquí.
Tantatas apamuwasqa.	Dicen que me trajo pan.
Hukllam wawqiy.	Tengo un solo hermano.
Animalniykunantinmi kay wasipi yachani.	Vivo en esta casa conjuntamente con mis animales.
Kay runaqa wasisapam.	Este hombre tiene muchas casas.
Umasapa misi.	Gato cabezón.
Wak rikchaq sachasuqa kayllapim kan.	Ese tipo de árbol enorme sólo existe aquí.
Paypa wasinqa sumaqsum.	Su casa es muy hermosa.
Quchachakurqun ñan.	Se inundó el camino.
Pallca llaqtapi waylla ichuy.	En el pueblo de Pallcca, planta de ichu.
Qamllam yachanki ñuqapa vidayta.	Tú nomás sabes mi vida.
Llaqtamasillay wañuptin.	Cuando murió mi paisano.
Urqun qasanlla waqallasqayta.	Lo que lloré en los cerros.
Ama llakikuychu, kay willakuyqa manan sinchi manchakunapaqchu.	Que no cunda el pánico, estar alerta no es alarma.
Yuyariy ¡Qanllataqmi coronavirus vacunaqa kanki!.	Recuerde: ¡la vacuna es usted!
Ama manchakuychu, kashanmi coronavirusmanta allin willakukunapas.	Sobre todo mantenga la calma, también hay buenas noticias sobre el coronavirus.
mamaytam kuyani.	amo a mi mamá.
misitam maskani.	busco al gato.
wallpakunatam maskani.	busco a las gallinas.
allqukunatam pakani.	escondo a los perros.
Limaman illani.	viajo hacia Lima.
allquman yakuta quni.	le doy agua al perro.
chakraman purini.	camino a la chacra.
yantaman rirqani.	fui por leña.
Yaykuykamuy taytáy.	Adelante, señor.
Mamáy, yaykuykamuy.	Adelante, señora.
Yaykuykamuychik, taytakuna.	Adelante, señores.
Yaykuykamuychik, mamakuna.	Adelante, señoras.
¿Imatataq munanki, mamáy?	¿Qué desea, señora?
¿Imatataq munanki, taytáy?	¿Qué desea, señor?
Mamáy, ¿imachamanmi hamuchkanki?	¿Para qué ha venido, señora?
¿Imamantaq hamurqanki, mamáy?	¿Para qué ha venido, señora?
¿Mamáy, imamanmi hamurqanki?	¿Para qué ha venido, señora?
¿Imaraykutaq hamurqanki, taytáy?	¿Por qué ha venido, señor?
¿Imaraykutaq hamuchkankiri?	¿Por qué ha venido, señor?
¿Imapaqtaq allin kayman?	¿En qué le puedo servir?
¿Imatam ruwallayman?	¿Qué puedo hacer por usted?
¿Imapitaq yanapaykiman?	¿En qué le puedo ayudar?
¿Imapitaq yanapariykimanku?	¿En qué le podemos ayudar?
¿Yanapayta atiymanchu?	¿Puedo ayudarle?
¿Yanapayta atiymankuchu?	¿Podemos ayudarle?
Uyariykim, mamáy.	Le escucho, señora.
Uyarisqaykim, taytáy.	Le escucharé, señor.
Uyarisqaykichik.	Les escucharé.
Denuncia churaqmi hamuchkani.	He venido para poner una denuncia.
Chikuykuqmi hamuchkani.	He venido a denunciar.
Tapukuqmi hamuchkan.	He venido a hacer una consulta.
Juezwanmi rimayta munani.	Deseo hablar con el juez.
Fiscalwanmi rimayta munani.	Deseo hablar con el fiscal.
Juezpa uyariwanantam munani.	Deseo que me escuche el juez.
Fiscalpa uyariwanantam munani.	Deseo que me escuche el fiscal.
Fiscalwanmi rimanay kachkan.	Necesito hablar con el fiscal.
¿Imatan suyarichkanki, mamáy?	¿Qué está esperando, señora?
¿Imatam maskarichkanki, taytáy?	¿Qué está buscando, señor?
¿Allichu yanapawankikumanchu, taytáy?	¿Me puede ayudar, señor?
Mamáy, ¿yanapawankikumanchu?	¿Me puede ayudar, señora?
Demunatam maskachkani.	Estoy buscando la Demuna.
Primer Juzgadotam maskachkani.	Estoy buscando el Primer Juzgado.
Wawata suyarichkani, jefelláy.	Estoy esperando a mi hija, jefe.
Abogadoytam suyarichkani.	Estoy esperando a mi abogado.
Runasimita rimani, taytáy.	Yo hablo quechua, señor.
¿Castellanuta rimankichu, mamáy?	¿Habla castellano, señora?
Manam castellanuta rimanichu.	No hablo castellano.
¿Runasimita rimankichu, doctor?	¿Habla quechua, doctor?
Arí, runasimita rimani.	Sí, hablo quechua.
¿Runasimita yachankichu, doctora?	¿Sabe quechua, doctora?
Arí, runasimita yachani.	Sí, sé quechua.
Manam runasimita yachanichu.	No sé quechua.
¿Runasimitachu utaq castellanusimitachu rimayta munanki?	¿Prefiere usted hablar quechua o castellano? 
¿Pitaq kaypi runasimita riman?	¿Quién habla quechua aquí?
¿Pitaq kaypi castellanota riman?	¿Quién habla castellano aquí?
Allichu, allinllamanta rimaway.	Por favor, hábleme despacio.
Ama hina kaychu, allinllamanta rimaway.	Por favor, hábleme despacio.
¿Manachu allimanta hinalla rimawaq?	¿Puede hablar más despacio?
¿Manachu kaqmanta rimariwaq?	¿Puede repetir?
Allichu, huktawan niway.	Por favor, repita.
Hawkalla kakuy, mamáy.	Tranquilícese, señora.
Hawkayay, taytáy.	Cálmese, señor.
Llakikuyñiykita willawanki.	Cuénteme lo que le aflige.
Lliumi allin kanqa.	Todo va a estar bien.
Ama llakikuychu.	No se preocupe.
Yanapasqaykikum.	Le vamos a ayudar.
Ama hina kaspayki, uyariykullaway.	Escúcheme, por favor.
Ama hina kaychu, taytáy.	Por favor, señor.
¡Ima allinmi hamuranki!	¡Qué bueno que ha venido!
¿Ima horasta comisario chayamunqa?	¿A qué hora llega el comisario?
¿Ima horasta fiscal chayamunqa?	¿A qué hora llega el fiscal?
Kasqanpacha.	Inmediatamente.
Kunanpacha.	En este momento.
Kunallanmi.	En este momento.
Manam yanapayta atinichu, mamáy.	No puedo ayudarle, señora.
Anchata llakikuni, taytáy.	Lo lamento mucho, señor.
Anchata llakipayki.	Lo lamento mucho.
Dispinsaykuway.	Disculpe.
Pampachaykuway.	Perdóneme.
Pampachayuway qhiparikusqaymanta.	Perdón por llegar tarde.
Pampachaway, kunanqa manam riyta atinichu.	Perdóneme, pero no puedo ir ahora.
Kunanqa manam paywan rimayta atinkichu.	No puede hablar con él ahora.
Kunanqa manam qanwan rimayta atinchu.	No puede hablar con él ahora.
Yanaparwanki.	Me ha ayudado.
Imamanta.	No hay de qué.
Mana imamantapas.	No tiene por qué.
Huk punchawkama, mamay.	Hasta otro día, señora.
Huk ratucha, suyariy.	Espere un momento, por favor.
Sutiymi Miguel Quispe.	Me llamo Miguel Quispe.
Miguel Quispe técnicom kani.	Soy el técnico Miguel Quispe.
Miguel Quispe oficialmi kani.	Soy el oficial Miguel Quispe.
Fiscal Provincialmi kani. Sutiymi Freddy Manrique.	Soy el Fiscal Provincial. Me llamo Freddy Manrique.
Doctora Susana Huamánmi kani.	Soy la doctora Susana Huamán.
¿Pim kachkanki?	¿Quién es usted?
Andrés Huamaní Torresmi kani.	Yo soy Andrés Huamaní Torres.
Sutiymi Felícita Palomino, doctor.	Mi nombre es Felícita Palomino, doctor.
¿Maymantam hamuchkanki?	¿De donde viene usted?
Vilcashuamanmantam hamuchkani.	Soy de Vilcashuamán.
¿Maymantataq kanki?	¿De dónde es usted?
Huantamantam kani.	Yo soy de Huanta.
Rancha comunidadmantam kani.	Yo soy de la comunidad de Rancha.
Munaypata comunidadmantam kani.	Yo soy de la comunidad de Munaypata.
¿Comunidadmantachu hamuchkanki?	¿Viene de la comunidad?
Arí, chaymantam hamuchkani.	Sí, vengo de allí.
Manam. Kaypim tiyani.	No, vivo aquí.
¿Maypitaq tiyanki?	¿Dónde vive usted?
Quinuapim tiyani.	Yo vivo en Quinua.
¿Ima callipin tiyanki?	¿En qué calle vive?
Bellido kallipin tiyani.	Vivo en la calle Bellido.
¿Ima yupaychasqa?	¿Qué número?
312pin tiyani.	Vivo en el número 312.
¿Mayqantaq DNIniykipa yupaynin?	¿Cuál es el número de su DNI?
Kimsa-huk-tawa-suqta-pichqaqanchis-isqun-pusaq.	31465798.
Manam DNIniy kanchu, taytáy.	No tengo DNI, señor.
DNIniymi chinkarun, siñuracha.	Se me ha perdido mi DNI, señorita.
¿Hayka watayuq kanki?	¿Qué edad tiene?
Tawa chunka pichqanpim kachkani.	Tengo 45 años.
¿Mayqantaq estado civilniyki?	¿Cuál es su estado civil?
¿Kasaruchu kanki?	¿Es usted casado?
Kasadum kani.	Soy casado.
¿Kasarachu kanki?	¿Es usted casada?
Kasadam kani.	Soy casada.
Sapallaymi kani.	Soy soltera.
Kuskaykun tiyayku, ichaqa manaraqmi kasarakusqach.	Vivimos juntos, pero todavía no estamos casados.
¿Civilpichu kasarakurqanki?	¿Usted se ha casado por civil?
Ari, civilpi kasarakurqani.	Sí, me he casado por civil.
Manam, religiosopillam kasarakurqani.	No, solo por religioso.
Manam, servinakuypillam kachkaniku.	No, solo convivimos.
Mana kasaruchu kani.	No estoy casado.
¿Qusayki kawsachkanchu?	¿Su esposo vive?
¿Warmiyki kawsachkanchu?	¿Su esposa vive?
Qusayqa wañunmi.	Mi esposo ha fallecido.
Qusayqa wañusqaña.	Mi esposo ya ha fallecido.
Warmi sapan kani.	Soy viuda.
Warmiyqa wañunmi.	Mi esposa ha fallecido.
Warmiyqa wañusqaña.	Mi esposa ya ha fallecido.
¿Rakinasqachu kanki?	¿Es usted separado?
Estoy separado.	Raqisqam kani.
¿Haykataq churiykikuna?	¿Cuántos hijos tiene?
Iskaymi churiykuna.	Son 2 mis hijos.
¿Haykataq qarikuna?	¿Cuántos hombres?
¿Haykataq warmikuna?	¿Cuántas mujeres?
¿Qari wawakunachu?	¿Varones?
¿Chiqanchawaqchu qaritaqa?	¿Puede describir al hombre?
¿Chiqanchawaqchu warmitaqa?	¿Puede describir a la mujer?
¿Chiqanchawaqchu suwakunataqa?	¿Puede describir a los ladrones?
¿Chiqanchawaqchu chinkasqa wawa?	¿Puede describir al niño perdido?
¿Chinkaq wawari imaynataq karqa?	¿Puede describir al niño perdido?
Hatun karay runam.	De buen porte, fornido, corpulento.
Allin sayayniyuq.	Es alto.
Iskay waynakuna chaymanta huk machu runa, wirasapa niq.	Dos jóvenes y uno mayor,más gordo.
Lentesniyoq.	Tenia lentes.
Yuraq warmi.	Mujer blanca.
Huk suyumanta hina.	Parecía extranjero.
Paqu chuckchayuq.	Cabello rubio.
Anqas ñawiyuq.	De ojos azules.
Chawi uyayoq.	Con la cara arrugada.
¿Imayna pachasqataq taytayki karqa?	¿Cómo estaba vestido su papá?
¿Imayna pachasqataq warmi wawayki karqa?	¿Cómo estaba vestida su hija?
¿Imayna pachasqataq kasqaku?	¿Cómo estaban vestidos?
¿Imayna pachasqataq suwa karqa?	¿Cómo estaba vestido el ladrón?
sombreroyuq.	Con sombrero.
Yana casacayuq.	Con casaca negra.
Llaqta pachayuq.	Con ropas de ciudad.
Puka poloyuq.	Con polo rojo.
Yuraq camisayuq.	Con camisa blanca.
Usutayuq.	Con ojotas.
Yana zapatoyuq.	Con zapatos negros.
Puka chukuyuq.	Con gorra roja.
Allin pachasqa.	Bien vestido.
Latapa runa.	Andrajoso.
Anqas warayuq.	Con pantalón azul.
Verde chompayuq.	Con chompa verde.
Qayma anqas camisayuq.	Con camisa celeste.
¿Maypitaq warmari chinkarurqa?	¿Dónde se perdió el niño?
¿Maypitaqri chay pasarqa?	¿Dónde pasó?
¿Maypitaq suwarqusunki?	¿Dónde le han robado?
¿Maypitaq uywakunaqa karqa?	¿Dónde estaban los animales?
¿Maypim qayna punchaw karqanki?	¿Dónde estaba usted ayer?
Raymipim.	En la fiesta.
Llaqtapim.	En la ciudad.
Yachaywasipim.	En el colegio.
Samanawasipim.	En el alojamiento.
Qullqiwasipim.	En el banco.
Chakapim.	En el puente.
Wasiypim.	En mi casa.
Wasinpim.	En su casa.
Wasiykupim.	En nuestra casa.
Kanchapim.	En el corral.
Chacrapim.	En la chacra.
Raqay ukupim.	En un galpón.
Wischusqa wasipim.	En una casa abandonada.
Plazapim.	En la plaza.
Feriapim.	En la feria.
Mercadopim.	En el mercado.
Bancopim.	En el banco.
Fiestapim.	En la fiesta.
Terminalpim.	En el terminal.
¿Maynintataq suwakuna pasarqaku?	¿Por dónde se fueron los ladrones?
Mayuman pasakapunku.	Se fueron hacia el río.
Llaqtaman pasakapunku.	Se fueron hacia el pueblo.
Chay kiklluman pasakapunku.	Se fueron por esa calle.
Llaqtaman pasakapun.	Se fue hacia el pueblo.
¿Ima horaspim chay karqa?	¿A qué hora sucedió eso?
¿Ima horaspim suwarusurqanki?	¿A qué hora le robaron?
¿Ima horastataq waykarusurqanki?	¿A qué hora le asaltaron?
Ñaqachalla.	Hace un ratito nomás.
Yaqa iskay kimsa horasñam.	Hace ya unas horas.
Kunan tutamanta.	Esta mañana.
Tutapaynin chunka horas nisqata.	A eso de las 10 de la mañana.
Chawpipunchawta.	Al mediodía.
Kay tutayaqta.	Al atardecer.
Kay tutata.	Esta noche.
Qayna semanata.	La semana pasada.
¿Haykapiraqtaq chay karqa?	¿Hace cuánto tiempo sucedió?
¿Haykamantapacha riqsinakurqankichik?	¿Hace cuánto se conocen?
Semanañam.	Ya hace una semana.
Pichqa killañam.	Ya hace cinco meses.
Amado, amada.	Kuyasqa, munasqa.
¿Maypitaq taytamamayki?	¿Dónde están tus papás?
¿Maypitaq taytayki?	¿Dónde está tu papá?
¿Maypitaq mamayki?	¿Dónde está tu mamá?
Taytamamaytam maskachkani.	Estoy buscando a mis papás.
¿Haykataq turiykikuna?	¿Cuántos hermanos tiene?
¿Haykataq panaykikuna?	¿Cuántas hermanas tiene?
¿Imaynatam qusayki tratasunki?	¿Cómo le trata su esposo?
¿Imaynatam warmi wawayki rikusunki?	¿Cómo le cuida su hija?
Allimpuni qusayki yanapasuptikiqa.	Es bueno que su esposo le ayude.
Qusaykiqa yanapasunaykipunim.	Es obligación de su esposo ayudarle.
Churiykiqa yanapasunaykipunim.	Es obligación de su hijo ayudarle.
Yachachiqpa ayllunmi kachkaniku.	Somos parientes del profesor.
Warmiqarim rakinakuyta munanku.	Los esposos desean separarse.
Warmiqarim rakinakuyman yaykunku.	Los esposos deciden separarse.
Wasi ayllunta wischuy.	Abandonar el hogar.
Wasi ayllunta wischumun.	Abandonó el hogar.
Rakikuytam munani, doctor.	Quiero separarme, doctor.
Manam qusaywan kuska kayta atiniñachu.	Ya no puedo vivir con mi esposo.
Manam warmiywan kuska kayta atiniñachu.	Ya no puedo vivir con mi esposa.
Manam imatapas paywan ruwanayñachu.	No tengo nada que hacer con él.
¿Legalpichu kuskanchakurankichik?	¿Se casaron ustedes legalmente?
Manam, doctor. Iglesiallapi.	No, doctor. Solo religioso.
¿Hayka watataq kuska tiyarankichik?	¿Hace cuánto tiempo vivían juntos?
Alimentosmanta demanda churanaypaqmi hamuchkani.	He venido a presentar una demanda por alimentos.
¿Imapim qusayki llamkachkan?.	¿En qué trabaja su esposo?.
¿Imapitaq wawaykikunapa taytanri llamkachkan?.	¿En qué trabaja el padre de sus hijos?.
¿Maypitaq paymi tiyan?.	 ¿Dónde vive él?.
¿Haykataq wawaykikunari?.	¿Cuántos hijos tiene usted?.
¿Haykam wawayuqtaq kankiri?.	¿Cuántos hijos tiene usted?.
¿Wawaykikunatari taytam firmarqachu?.	¿Los niños han sido reconocidos por su padre?.
Manam qullqitaqa quwanchu.	No me da dinero.
Chikallanta qullqita quwayta munan.	Quiere dar poquísimo dinero.
Churinkunamanta mana yuyakunchu.	No se preocupa por sus hijos.
Wawaykunamanta mana yuyakunchu.	No se preocupa por mis hijos.
Hukchus hina warmin kachkan.	Parece que tiene otra mujer.
Warmankuna uywanaykipaq qusunaykipuni.	Siempre debe darle apoyo para que usted pueda criar a sus hijos.
¿Haykatam sapa killa warmaykikunapi gastanki?.	¿Cuánto gasta usted mensualmente en sus hijos?.
Alimentos demandaqa manam mikunallamantachu.	La demanda de alimentos no se refiere solo a la comida.
Ichaqa pachanmanta, colegionmanta, hukkunamantapas.	Sino también son gastos de ropa, colegio y otros gastos.
Kay juiciopaqa manam abogadotaqa necesitankichu.	No necesita abogado para este juicio.
Kay formulariollata huntarachiy.	Solamente llene este formulario.
Llamkamasi.	Colega o compañero de trabajo.
Kutichipuy.	Devolver una deuda.
Wakchakaymanta lluqsiy.	Salir de la pobreza.
Ñaupaqman riy.	Ir delante de otros.
Q’ispiq.	Persona que mejora su situación.
¿Haykataq kay?.	¿Cuánto cuesta esto?.
¿Haykataq manuykiri?.	¿Cuánto le debo a usted?.
Qullqiykita yupay.	Cuente su dinero.
¿Qullqiykita yuparankichu?.	¿Contaste tu dinero?.
Kay qullqiqa ñuqapam.	Este dinero es mío.
Chay qullqiqa qanpam.	Ese dinero es tuyo.
¡Ñataq qulqitaqa quykiñá!.	¡Ya le he dado el dinero!.
Llamkanaymi kachkan.	Tengo que trabajar.
Llamkakunaymi.	Tengo que trabajar.
Mana llankayniyuq kani.	No tengo trabajo.
Llamkana tarirqamuni.	He encontrado trabajo.
Wasimasinmi 1500 solesta manukuwara.	Mi vecino me debe 1500 soles.
¿Manusqaykimanta qillqanakuskayki kanchu?.	¿Tiene algún documento o texto escrito que indique la deuda?.
¿Recibuta ruwanakurankichikchu?.	¿Hicieron algún recibo?.
Kimsa killañan tiyasqanmanta mana chaninchamunchu.	No me paga el alquiler desde hace tres meses.
Sapa kuti chaninchasaqmi niylla niwan.	Todo el tiempo dice que me va a pagar.
Simillanmi pagasayki nin.	Dice que me va a pagar.
2 000 solestaña perqaqkunaman quraniñan, manataq imatapas ruwankuraqchu.	Le adelanté 2 000 soles a los albañiles y todavía no han hecho nada.
Qullqiywanchus hina ripukunku.	Parece que se han ido con mi dinero.
Ichapas ñawpaqninpiqa allin rimanakuyman chayawaqchi.	Quizá pueda llegar primero a una conciliación.
Manaraq imapas kachkaptin, icha simita tupachiwaqchik.	Antes que el conflicto siga, quizá puedan arreglar.
Churiyta sarurparin.	Atropellaron a un hijo mío.
Wawayta sarurparin.	Atropellaron a un hijo mío.
¿Carruta riqsirurqankichu?	¿Pudo identificar el vehículo?
¿Chufirta riqsirurqankichu?	¿Pudo identificar al chofer?
Chofer, ¿haykallawanpas pagarachu?	¿Asumió algún gasto el chofer?
Chofer, ¿haykallawanpas chanincharachu?	¿Asumió algún gasto el chofer?
¿Kanchu recetayki?	¿Tiene las recetas de la curación?
¿SOATpa segurumanta chaskirankichu?	¿Cobró el seguro del SOAT?
¿SOATpa segurumanta yachankichu chaskikuyta?	¿Sabe cobrar el seguro del SOAT?
¿Imaykitataq dañarun?	¿Cómo dañaron su propiedad?
Tarpukusqaytam chaqurunku.	Mis sembríos fueron arrasados.
Sarayta chaqurunku.	Mi maíz fue arrasado.
¿Imataq dañarun?.	¿Qué produjo el daño?.
Wasimasiypa uywakunam ruwarun.	Lo hicieron los animales de mi vecino.
Wasimasiypa wakakunam.	Fueron las vacas de mi vecina.
Empresapa maquinankuna.	Fue la maquinaria de una empresa.
¿Uywakunayuqwan rimarqankiñachu?.	¿Conversó usted con el dueño de los animales?.
¿Imatam wakayuq nichkan?.	¿Qué dice el dueño de las vacas?.
¿Imatam chufir nichkan?.	¿Qué dice el chofer?.
¿Imatam carruyuq nichkan?.	¿Qué dice el dueño del automóvil?.
Manam rimayta munanchu?.	No quiere hablar.
Manam empresaqa allichayta munanchu.	La empresa no quiere arreglar.
Ñuqam huchayuq kani ninmi chufirqa.	El chofer dice que yo tuve la culpa.
Wawaysi huchayuq ninmi chufirqa.	El chofer dice que mi hijo tuvo la culpa.
Chikallanta chufirqa quyta munan.	El chofer quiere dar muy poco.
Qullqinta chikallanta quwayta munan.	Quiere dar poquísimo dinero.
¡Wañusqata tarirquyku!.	Encontramos un cadáver.
Wardiyawan rimachkanku.	Ellos están hablando con el policía.
Wañuchiqta tarirquyku.	Hemos encontrado al asesino.
Wañuchiqta hapiychik!	Capturen al asesino!
Wañuchiqtaqa hapirurankuchu?	Capturaron al asesino?
Wañuchiyta munawan.	Me quiere matar.
Fiscalmanchá willamusaq wañusqata huqarinankupaq.	Avisaré al fiscal para que proceda al levantamiento del cadáver.
Ama wañusqata tupaychikchu.	No muevan el cadáver.
Fiscalmi hamunan.	 Tiene que venir el fiscal.
¿Wañusqari awqanakuymantaschu kasqa?.	¿El cadáver presenta signos de agresión?.
Yawarmi chaypi kashan.	Hay sangre cerca.
Wañusqaqa maqasqa kasqa.	Hay señales de golpes en el cuerpo.
¿Wañuchisqachu utaq kikinmanta wañuqchu kasqa?.	¿Ha sido homicidio o un accidente?.
Ama imatapas hapiychikchu.	No toquen nada.
Yupim qipanman.	Puede haber huellas.
Iman wañusqapa sutin?	¿Cuál es el nombre del fallecido?
Wañusqapa iman sutin karqa?	Cuál era el nombre del fallecido?
Riqsirankichikchu wañuqta?	Han reconocido al difunto?
Yachakunñachu pin kasqa chay wañuq?	Ya se sabe quién es el fallecido?
Morguemanmi wañuqta apananchik.	Tenemos que llevar el cuerpo a la morgue.
Morguemanmi wañuqta apasaqku.	Vamos a llevar el cuerpo a la morgue.
Manaraqmi pampanaraqchu.	No es posible enterrarlo todavía.
Medico legistata suyananchik.	Esperamos al médico legista.
Hayka unaytataq suyasun?	Cuánto tendremos que esperar?
Wañuqpa ayllunmi kani.	Soy pariente del muerto.
Wañuqpa warminmi kani.	Soy la esposa del muerto.
Wañuqpa qusanmi kani.	Soy el esposo de la fallecida.
Wañuqpa ayllunmi kachkaniku.	Somos parientes del muerto.
¡Ama piñakuychu!.	¡No te molestes!.
¡Ama maqanakuychikchu!.	¡No peleen!.
¡Maqasqa kachkanki!.	¡Estás golpeado!.
¡Yawarchasqa kachkanki!.	¡Estás ensangrentado!.
¿Pitaq maqasurqanki?.	¿Quién te ha pegado?.
Maqaytam munawan.	Me quiere golpear.
Manchakuchkani.	Tengo miedo.
Javierqa Marcowanmi maqanakamun.	Javier se ha peleado a golpes con Marco.
Qarikuna maqanakuqta amachaychik.	Separen a esos hombres que se están pegando.
Maqawasqanmantan Marcial Huilcata denunciayta munani.	Quiero denunciar a Marcial Huilca por agresión.
¿Imanasqataq maqarqusurqanki?.	¿Por qué razón le pegó?.
¿Imanaypitaq maqarqusurqanki?.	¿En qué circunstancias le pegó?.
Maqawan warminwan pantaymanpas hina.	Me pegó porque creía que yo había estado con su mujer.
Suwawananpaq.	Para robarme.
Fiesta tukuytam.	Al final de la fiesta.
¿Imaynatataq maqasurqanki?.	¿Cómo le golpeó?.
¿Imanawanmi maqarusuranki?.	¿Con qué le golpeó?.
Kaspiwan maqaruwan.	Con un palo me pegó.
Médico legistaman rinayki.	Tiene que ir al médico legista.
Kunanmi rikuruwanki, niwachkanmi.	Me está amenazando.
¿Machasqachu maqasuspayki karqa?.	¿Estaba él borracho cuando le pegó?.
¿Imanasqataq wasimasiykita maqarqanki?.	¿Por qué le ha pegado a su vecino?.
Paymi kamiruwan.	Él me insultó.
Ñuqaqa harkakuyllan harkakurqani.	Yo solamente me defendía.
Aylluntin chiqninakuy.	Rencores entre familiares.
Aylluntin kaminakuy.	Discusión familiar.
Aylluntin piñachinakuy.	Pelea familiar.
¡Maqasqam kachkanki, mamáy!.	¡Señora, está golpeada!.
Qusaymi maqaruwan.	Mi marido me ha pegado.
Qayna punchawmi qusaymi maqaruwaran.	Ayer me pegó mi esposo.
¡Kiriykikunatan hampinanku!.	¡Tienen que curar sus heridas!.
Postaman riysisayki.	La acompaño a la posta.
Postaman apasayki.	La llevo a la posta.
Hospitalman riysisayki.	La acompaño al hospital.
Hospitalman apasayki.	La llevo al hospital.
¿Médico legistaman rirqankiñachu?.	¿Ha ido al médico legista?.
Arí, ñam riruniña. Kayqaya qawamuwasqan.	Sí, ya fui. Acá está el resultado.
Manam, taytáy. ¿Maypitaq medicu kachkan?.	No, ¿dónde está el médico?.
¡Ama hina kaspa, midikuman pusaway!.	¡Por favor, lléveme al doctor!.
¡Ama hina kaychu, midikuman apaway!.	¡Por favor, lléveme al doctor!.
¿Imaynanpitaq qusayki maqasurqanki?.	¿En qué circunstancias le pegó su esposo?.
Kutipakuptiy.	Porque le he contestado.
Paywan puñuyta mana munaptiy.	Cuando no he querido acostarme con él.
Munasqanta mana ruwaptiy.	Cuando no hice lo que quería.
Piñachinakuyta qallariptiykum.	Cuando comenzamos a discutir.
Qullqita mañaptiymi.	Cuando le pedí plata.
Wasimanta lloqsichkaptiymi.	Cuando yo iba a salir de la casa.
¿Imaynatataq maqasurqanki?.	¿Cómo le ha pegado?.
Laqichuruwan.	Me ha dado una bofetada.
Laqichuparuwan.	Me ha dado de bofetadas.
Chukchaykunamanta chutaykuwan.	Me ha jalado los cabello.
Aysaykachaykuwan.	Me ha jaloneado.
Haytapawan.	Me ha dado de patadas.
Pampapi maqaykuwan.	Me ha golpeado en el suelo.
Yaqan wañurqachiwan.	Casi me ha matado.
¿Imawanmi maqarusuranki?.	¿Con qué le golpeó?.
Kaspiwan maqaruwan.	Con un palo me pegó.
